282 inbred,Rootbot date,scored,reason for not ,source - 200k packets from,WW cassette#,WS cassette#,Earliest_scored_plate,other comments,,"for this experiment, these seeds, stored in 2 metal boxes labeled ""282"" in Sears' GH, are surface sterilized, bubbled o/n in calcium sulfate, put on well watered soilless mix for 24h and then plated in well watered or water stress soil - pics not scored if less than 5 seeds WW and 5 WS grew for each inbred",,,,,
Ms1334,9/11/2019,yes,,18MX2105,30,32,6,,,,,,,,
M14,9/11/2019,yes,,RA17MO79,8,25,6,,,,,,,,
Mo44,9/11/2019,yes,,RA17MO338,22,26,6,,,,,,,,
GA209,9/11/2019,yes,,RA17MO81/394,31,33,6,,,,,,,,
Tzi18,1/30/2020,yes,,,30,31,6,32 is a troublesome cassette,,,,,,,
Tzi9,1/30/2020,yes,,,8,25,6,,,,,,,,
Pa875,2/12/2020,yes,,18FG501,28,29,6,,,,,,,,
B77,2/12/2020,yes,,RA17MO85/558,8,25,6,,,,,,,,
NC336,2/12/2020,yes,,RA17MO86/543,22,31,6,,,,,,,,
Ci31A,2/14/2020,yes,,RA17MO88/363,3,34,6,,,,,,,,
Ki2021,2/14/2020,no,poor germination,RA17MO89,8,31,,,,,,,,,
A6,2/14/2020,yes,,RA17MO90/497,22,33,6,,,,,,,,
CML333,2/14/2020,no,poor germination,RA17MO91/347,28,29,,,,,,,,,
NC238,2/14/2020,no,no germ,RA17MO87/309,30,31,,,,,,,,,
Ci31A,2/14/2020,yes,,RA17MO88/363,3,34,6,"2/14 pics took 1st and last pic only because cassettes hitting bolts, getting stuck and piling up in front of camera",,,,,,,
Ki2021,2/14/2020,no,low germination,RA17MO89,8,31,,,,,,,,,
A6,2/14/2020,yes,,RAA17MO90/497,22,33,6,,,,,,,,
CML333,2/14/2020,no,low germination,RA17MO91/347,28,29,,,,,,,,,
Ci91B,3/20/2020,,,RA17Mo92/327,3,8,,COVID SHUTDOWN,,,,,,,
C103,3/20/2020,,,RA17MO93/325,22,31,,,,,,,,,
NC232,5/19/2021,,,RA17MO395,25,26,,"updates caused problems, Mia dove in and after several months has resurrected Rootbot so we restart",,,,,,,
Va22,5/19/2021,,,RA17MO95/514,22,29,,,,,,,,,
C123,6/23/2021,yes,,18Mx2111,22,26,6,,,,,,,,
L317,6/30/2021,yes,,RA17MO96/337,22,26,6,,,,,,,,
NC314,6/30/2021,yes,,18Mx2114,24,25,6,,,,,,,,
CML14,7/14/2021,yes,,RA17MO98/423,22,26,6,,,,,,,,
CML332,7/14/2021,yes,,RA17MO99/301,24,25,6,,,,,,,,
H95,7/21/2021,yes,,RA17MO100,22,27,6,,,,,,,,
A632,7/21/2021,yes ,,18FG468,24,25,6,,,,,,,,
NC338,7/28/2021,yes,,RA17MO102,22,27,6,,,,,,,,
NC328,7/28/2021,yes,,RA17MO103/548,24,25,6,,,,,,,,
W153R,8/4/2021,no,pic fail,2018HG002,22,26,,,,,,,,,
B103,8/4/2021,no,pic fail ,18FG475,24,25,,,,,,,,,
R4,8/12/2021,yes,,RA17MO106,22,26,6,,,,,,,,
CML323,8/12/2021,yes,,RA17MO107,24,25,6,,,,,,,,
KY228,8/18/2021,yes,,RA17MO108/356,24,25,6,,,,,,,,
H49,8/18/2021,yes,,RA17MO109/316,22,26,6,,,,,,,,
Oh43E,8/26/2021,yes,,RA17MO110/469,22,26,6,,,,,,,,
B79,8/26/2021,yes,,RA17MO111,24,25,6,,,,,,,,
NC360,9/2/2021,yes,,RA17MO112/340,24,26,6,,,,,,,,
B10,9/2/2021,no,no germination,RA17MO113/346,23,25,,,,,,,,,
H105W,9/9/2021,yes,,RA17MO114,23,25,6,,,,,,,,
CML91,9/9/2021,yes,,RA17MO115/392,24,26,0,***Used 0 and 30 hour pics instead of 6 and 36,,,,,,,
F2834T,9/16/2021,yes,,RA17MO116/332,23,25,6,,,,,,,,
CML157Q,9/16/2021,yes,,RA17MO117/476,24,26,6,,,,,,,,
NC296A,9/23/2021,yes,,18FG520,23,25,6,,,,,,,,
B164,9/23/2021,yes,,RA17MO119/537,24,26,6,,,,,,,,
