"","inbred","condition","hours_elapsed","min","med","mean","max","sd","iqr"
"331","IL14H","ws",35.9763888888889,0,0,0.28812492,1.572603,0.610598556712398,0
"332","IL14H","ww",6,0,0,0.032218263,0.32218263,0.101883093334329,0
"333","IL14H","ww",35.9877777777778,0,0,0.091211075,0.91211075,0.288434744832443,0
"334","K148","ws",6,0.22119135,0.51217617,0.5708738275,1.9949476,0.368456708390257,0.16680346
"335","K148","ww",6,0.17152692,1.07793545,1.8225464865,5.7544956,1.69278090513931,1.83748147
"336","K55","ws",6,0.30096263,0.631532315,0.599005306,0.7351803,0.13971503595799,0.1556011
"337","K55","ws",35.9997222222222,0.8480045,0.919605345,0.987462558,1.4180758,0.180537580670882,0.2099187125
"338","K55","ww",6,0,0.67534665,0.637623064,0.9669579,0.253823753745204,0.1185193475
"339","K55","ww",36,0.8419663,2.64039875,2.74624189,4.913107,1.39489627060012,2.067055775
"340","K64","ws",6,0.43580446,0.96060437,1.0677455225,2.2534313,0.517894214519572,0.7924962
"341","K64","ww",6,0.5521534,1.4308735,1.636563334,3.9390638,0.998925984931322,1.442699725
"342","KI14","ws",6,0,0.13021616,0.103512715,0.18222177,0.0744704934204135,0.12971347
"343","KI14","ws",36,0,0.97703375,0.992762837,2.0080547,0.673433539319161,0.889287615
"344","KI14","ww",6,0,0.050206185,0.118400704,0.3447627,0.135453644399045,0.25569722
"345","KI14","ww",36.0027777777778,0,1.3749406,1.476791641,4.0152354,1.08895906418652,1.3416832
"346","KI21","ws",6,0,0.747114685,0.8827784365,2.2052152,0.639555848462243,1.08649602
"347","KI21","ww",6,0.28236568,1.431936675,1.9602255695,4.491239,1.59922181400977,3.04872032
"348","KI44","ws",6,1.0805984,1.5894454,1.60484051,2.0557864,0.256911783272099,0.255965725
"349","KI44","ws",29.3313888888889,1.0609553,2.38757705,2.32985178,3.6329167,0.957528633526284,1.55074265
"350","KI44","ww",6,2.0461323,2.8415823,2.77504046,3.325734,0.399119749602759,0.506062674999999
"351","KI44","ww",29.2908333333333,3.9023998,4.96963215,5.03494327,6.2683015,0.609763689142768,0.4153599
"352","KY228","ws",6,0.29594493,0.5731805,0.538714006,0.766084,0.170620370886224,0.2863692225
"353","KY228","ws",36,0.49538207,1.47894235,1.423003583,2.4173858,0.578464565913884,0.508319575
"354","KY228","ww",6,0,0.4113856,0.492316679,0.8794474,0.277579978221112,0.4223070875
"355","KY228","ww",36.0002777777778,0.64083,1.1080028,1.60915607333333,3.9547725,1.09482597765074,1.095188
"356","L317","ws",6,0,0.137413705,0.144569495,0.45011872,0.136424307191344,0.16417117
