image, root_name, root, length, vector_length, surface, volume, direction, diameter, root_order, root_ontology, parent_name, parent, insertion_position, insertion_angle, n_child, child_density, first_child, insertion_first_child, last_child, insertion_last_child
20221220-225113-plate_044, GF112seed#10, 4beee5e1-4613-4157-8138-1f2c2790c6d4, 1.3190053, 1.249426, 0.03511581, 9.3500166E-5, 249.66803016573476, 0.0071960785, 0, Primary root, -1, -1, -0.003030303, -57.29577951308232, 0, 0.0, null, null, null, null
20221220-225113-plate_044, GF112seed#9, c9981342-41e7-4c68-87f8-2f010a05b79b, 2.339525, 2.2983365, 0.07698861, 2.2082712E-4, 250.27296636014447, 0.009343204, 0, Primary root, -1, -1, -0.003030303, -57.29577951308232, 0, 0.0, null, null, null, null
20221220-225113-plate_044, GF112seed#8, 93962603-bf13-4f7a-9b74-6504152f4163, 4.185661, 4.112379, 0.06795631, 9.715014E-5, 297.18448142897626, 0.0056280065, 0, Primary root, -1, -1, -0.003030303, -57.29577951308232, 0, 0.0, null, null, null, null
20221220-225113-plate_044, GF112seed#7, 99e49b11-8821-487c-9c46-d3a3d6991762, 4.706444, 4.6528563, 0.56785035, 0.0067461906, 284.3502554501988, 0.035795506, 0, Primary root, -1, -1, -0.003030303, -57.29577951308232, 0, 0.0, null, null, null, null
20221220-225113-plate_044, GF112seed#6, 8cee5012-eef2-4b06-91ab-58e3d7848fa2, 0.81356716, 0.81356716, 0.116174124, 0.0013322383, 273.4165979098691, 0.045451403, 0, Primary root, -1, -1, -0.003030303, -57.29577951308232, 0, 0.0, null, null, null, null
20221220-225113-plate_044, GF112seed#5, e2fa4307-48a6-458d-95ae-0111d34c4fad, 1.836336, 1.7739259, 0.03484298, 6.953298E-5, 300.9286545281938, 0.0063637285, 0, Primary root, -1, -1, -0.003030303, -57.29577951308232, 0, 0.0, null, null, null, null
20221220-225113-plate_044, GF112seed#4, 81a13a91-0173-4f91-b6c5-5e07d9661876, 0.4741238, 0.4741238, 0.005641345, 5.412639E-6, 265.60130421624376, 0.003787394, 0, Primary root, -1, -1, -0.003030303, -57.29577951308232, 0, 0.0, null, null, null, null
20221220-225113-plate_044, GF112seed#3, 72856a86-cfc8-4a71-b839-c2e8cae0a4e0, 2.642133, 2.6257186, 0.08561414, 5.804082E-4, 254.37362069252336, 0.021817988, 0, Primary root, -1, -1, -0.003030303, -57.29577951308232, 0, 0.0, null, null, null, null
20221220-225113-plate_044, GF112seed#2, c61e82de-4cd4-4c00-ad04-0030784900bd, 0.39164835, 0.39164835, 0.0065241684, 9.177592E-6, 291.80141809879245, 0.00530239, 0, Primary root, -1, -1, -0.003030303, -57.29577951308232, 0, 0.0, null, null, null, null
20221220-225113-plate_044, GF112seed#1, 33388d3e-627e-424e-a435-0a9278886c97, 2.0241776, 1.992677, 0.05286159, 1.840798E-4, 247.02586710796373, 0.010986141, 0, Primary root, -1, -1, -0.003030303, -57.29577951308232, 0, 0.0, null, null, null, null
