image, root_name, root, length, vector_length, surface, volume, direction, diameter, root_order, root_ontology, parent_name, parent, insertion_position, insertion_angle, n_child, child_density, first_child, insertion_first_child, last_child, insertion_last_child
20220813-025002-plate_042, Cl21Eseed#10, f6882f9f-4a56-4002-9c09-b6a18b06fb4e, 6.410544, 6.29062, 0.49936688, 0.005494116, 278.1624592320041, 0.024431046, 0, Primary root, -1, -1, -0.003030303, -57.29577951308232, 0, 0.0, null, null, null, null
20220813-025002-plate_042, Cl21Eseed#9, ee71de24-c4ec-49fa-bd15-da9b7f723b14, 1.259696, 1.2385007, 0.20492093, 0.0035910148, 277.85684924778104, 0.052020054, 0, Primary root, -1, -1, -0.003030303, -57.29577951308232, 0, 0.0, null, null, null, null
20220813-025002-plate_042, Cl21Eseed#8, 33d2291e-5005-4cce-8d5f-6398e3447b25, 2.574037, 2.5621529, 0.17058386, 0.001335957, 254.80116321380947, 0.02045628, 0, Primary root, -1, -1, -0.003030303, -57.29577951308232, 0, 0.0, null, null, null, null
20220813-025002-plate_042, Cl21Eseed#7, 600481af-6568-4bfe-80e7-5ace6a3895b1, 6.369406, 6.3320775, 0.37256342, 0.0042095724, 245.40402502916587, 0.02943867, 0, Primary root, -1, -1, -0.003030303, -57.29577951308232, 0, 0.0, null, null, null, null
20220813-025002-plate_042, Cl21Eseed#6, 64811780-2ba0-4e89-8800-6975e02cf345, 6.7516437, 6.626992, 0.33365315, 0.0023414148, 260.2918156837993, 0.017509008, 0, Primary root, -1, -1, -0.003030303, -57.29577951308232, 0, 0.0, null, null, null, null
20220813-025002-plate_042, Cl21Eseed#5, 010721fd-8d97-4954-9967-21d29cdb46e0, 2.276288, 2.276288, 0.55262375, 0.0108125545, 266.7947841510551, 0.077275686, 0, Primary root, -1, -1, -0.003030303, -57.29577951308232, 0, 0.0, null, null, null, null
20220813-025002-plate_042, Cl21Eseed#4, 8b3d7228-4324-43a5-8bf6-1f6caa3d3805, 1.6889529, 1.6889529, 0.036190312, 6.806233E-5, 255.66455376641244, 0.006820619, 0, Primary root, -1, -1, -0.003030303, -57.29577951308232, 0, 0.0, null, null, null, null
20220813-025002-plate_042, Cl21Eseed#3, b3f7b9e4-d6a7-4e43-990f-c71e038bca0e, 6.7349277, 6.579708, 0.13933015, 4.0159188E-4, 282.9443019906867, 0.007142603, 0, Primary root, -1, -1, -0.003030303, -57.29577951308232, 0, 0.0, null, null, null, null
20220813-025002-plate_042, Cl21Eseed#2, 3e038809-022c-473a-943c-cfae1a681e13, 2.2915206, 2.2436574, 0.55917114, 0.010552703, 223.88099246381014, 0.0916698, 0, Primary root, -1, -1, -0.003030303, -57.29577951308232, 0, 0.0, null, null, null, null
20220813-025002-plate_042, Cl21Eseed#1, 3f614941-e9eb-46dc-97c8-e3e6afc5ca23, 6.0088186, 5.9833255, 0.14042144, 3.0460252E-4, 255.1836264865735, 0.009642218, 0, Primary root, -1, -1, -0.003030303, -57.29577951308232, 0, 0.0, null, null, null, null
