image, root_name, root, length, vector_length, surface, volume, direction, diameter, root_order, root_ontology, parent_name, parent, insertion_position, insertion_angle, n_child, child_density, first_child, insertion_first_child, last_child, insertion_last_child
20220303-203401-plate_032, NC306seed#10, ee1d8269-1fa0-4cd7-98a9-33382be06061, 1.6037146, 1.6037146, 0.061073586, 1.8605326E-4, 266.0994982143045, 0.0121220555, 0, Primary root, -1, -1, -0.003030303, -57.29577951308232, 0, 0.0, null, null, null, null
20220303-203401-plate_032, NC306seed#5, e26d564e-f295-4e99-887e-39a0cc8910c4, 1.411757, 1.411757, 0.07728638, 4.1324183E-4, 277.39958174322703, 0.017424911, 0, Primary root, -1, -1, -0.003030303, -57.29577951308232, 0, 0.0, null, null, null, null
20220303-203401-plate_032, NC306seed#1, 2e0fcf01-d20e-4728-8404-92f923e47174, 1.7498093, 1.7276553, 0.056707103, 2.0794975E-4, 225.17605097195792, 0.010984564, 0, Primary root, -1, -1, -0.003030303, -57.29577951308232, 0, 0.0, null, null, null, null
20220303-203401-plate_032, NC306seed#4, b716d7d4-edc0-4b23-92fb-d4d68fa5c3cf, 1.73248, 1.7242078, 0.025176318, 3.1296233E-5, 284.19122132556424, 0.0045451643, 0, Primary root, -1, -1, -0.003030303, -57.29577951308232, 0, 0.0, null, null, null, null
20220303-203401-plate_032, NC306seed#9, 5909cb29-25e5-4cf1-9173-ce7b2b2bb6b2, 1.3283931, 1.3283931, 0.0316071, 6.303729E-5, 272.3533013806382, 0.007573681, 0, Primary root, -1, -1, -0.003030303, -57.29577951308232, 0, 0.0, null, null, null, null
20220303-203401-plate_032, NC306seed#8, 35dd356f-452a-4b2f-8201-467b9d65213a, 1.5829579, 1.5814002, 0.03834429, 7.942933E-5, 287.9530982751105, 0.0070710196, 0, Primary root, -1, -1, -0.003030303, -57.29577951308232, 0, 0.0, null, null, null, null
20220303-203401-plate_032, NC306seed#2, 64d6f071-30da-42a9-b009-1423831d36db, 1.8098083, 1.7951266, 0.046289645, 1.3317633E-4, 277.31043411418, 0.009090934, 0, Primary root, -1, -1, -0.003030303, -57.29577951308232, 0, 0.0, null, null, null, null
20220303-203401-plate_032, NC306seed#3, 3ca9f004-de90-4b70-8061-96968cfd513b, 1.7548987, 1.7548987, 0.11277762, 7.16181E-4, 264.05314621821196, 0.020455007, 0, Primary root, -1, -1, -0.003030303, -57.29577951308232, 0, 0.0, null, null, null, null
20220303-203401-plate_032, NC306seed#7, be472c6d-430e-46fe-b25b-358b51e3899a, 0.8938726, 0.8938726, 0.06382445, 3.647927E-4, 274.6668503770616, 0.022727888, 0, Primary root, -1, -1, -0.003030303, -57.29577951308232, 0, 0.0, null, null, null, null
20220303-203401-plate_032, NC306seed#6, e99f0709-48a7-457c-80ec-e8b67abe3099, 1.5395911, 1.5304079, 0.038253933, 8.3712715E-5, 278.15497334467375, 0.0085849175, 0, Primary root, -1, -1, -0.003030303, -57.29577951308232, 0, 0.0, null, null, null, null
