image, root_name, root, length, vector_length, surface, volume, direction, diameter, root_order, root_ontology, parent_name, parent, insertion_position, insertion_angle, n_child, child_density, first_child, insertion_first_child, last_child, insertion_last_child
20220319-023200-plate_026, CM37seed#10, ac99dd2e-24b5-4a6a-97df-697b0e1c5a36, 2.3147361, 2.2769463, 0.24068598, 0.0033469193, 277.76182765604784, 0.03837967, 0, Primary root, -1, -1, -0.003030303, -57.29577951308232, 0, 0.0, null, null, null, null
20220319-023200-plate_026, CM37seed#9, aa7daaa0-f783-4f75-9978-8a89e620e725, 3.5536053, 3.4324832, 0.37597755, 0.0073204287, 230.1779214445633, 0.037226934, 0, Primary root, -1, -1, -0.003030303, -57.29577951308232, 0, 0.0, null, null, null, null
20220319-023200-plate_026, CM37seed#8, 17e5411d-5b32-4427-84d7-6c5f54445398, 1.7626495, 1.7626495, 0.7266361, 0.027281832, 265.4406035254517, 0.13106033, 0, Primary root, -1, -1, -0.003030303, -57.29577951308232, 0, 0.0, null, null, null, null
20220319-023200-plate_026, CM37seed#7, 075034c7-f050-47c4-a475-25b541e08290, 3.1360846, 2.97841, 0.39971724, 0.0053552217, 272.6784183851308, 0.045834888, 0, Primary root, -1, -1, -0.003030303, -57.29577951308232, 0, 0.0, null, null, null, null
20220319-023200-plate_026, CM37seed#6, bfee070b-7387-40ee-b154-f622ad181195, 2.0090268, 2.0090268, 0.5788186, 0.014869616, 265.8566986496889, 0.091673195, 0, Primary root, -1, -1, -0.003030303, -57.29577951308232, 0, 0.0, null, null, null, null
20220319-023200-plate_026, CM37seed#5, 9af6fa53-62f7-4876-add1-386db03605a4, 1.6127578, 1.6127578, 0.08060154, 3.20798E-4, 271.41264772814407, 0.01590832, 0, Primary root, -1, -1, -0.003030303, -57.29577951308232, 0, 0.0, null, null, null, null
20220319-023200-plate_026, CM37seed#4, 96a35288-53d2-43cc-a78a-e86ddeb013c7, 3.886098, 3.7830236, 0.59824437, 0.025333574, 263.8202094467579, 0.06000159, 0, Primary root, -1, -1, -0.003030303, -57.29577951308232, 0, 0.0, null, null, null, null
20220319-023200-plate_026, CM37seed#3, 3580e7ce-7f98-45ff-b10b-b82e78610927, 3.7651289, 3.6077871, 0.53876483, 0.0079994835, 248.13935186721588, 0.039091844, 0, Primary root, -1, -1, -0.003030303, -57.29577951308232, 0, 0.0, null, null, null, null
20220319-023200-plate_026, CM37seed#1, 73b71daf-0d9d-457c-99a7-7984bb7736fb, 4.265964, 4.054491, 0.49578854, 0.0054125576, 252.8002456360759, 0.04015007, 0, Primary root, -1, -1, -0.003030303, -57.29577951308232, 0, 0.0, null, null, null, null
